FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;SE;MEUR_KP_PRE;OBJ03,191.4 ,169.2 ,162.7 ,822.1 ,1976.7 ,2285.1 ,2436.7 ,2452.5 ,2324.9 ,1951.6 ,2284.5 ,2481.4 ,2630.5 ,2779.9 ,2598.6 ,2594.1 ,3081 ,3174 
A;SI;MEUR_KP_PRE;OBJ03,13.2 ,27.5 ,27 ,38.6 ,26.2 ,14.8 ,4.7 ,19 ,26.1 ,28 ,47.4 ,69 ,89.4 ,130.3 ,157.3 ,169.9 ,176.6 ,182.6 
A;SK;MEUR_KP_PRE;OBJ03,6.5 ,0 ,0 ,0 ,0 ,0 ,5.9 ,25.9 ,47.7 ,73.2 ,87.3 ,22.4 ,12.7 ,31 ,26.1 ,30.2 ,25.2 ,65.3 
A;UK;MEUR_KP_PRE;OBJ03,102.9 ,613.6 ,845 ,904.9 ,1130 ,1186.8 ,1195 ,1256.5 ,1244.4 ,1534.5 ,1045 ,1009.6 ,1536.2 ,1936.1 ,2738.9 ,2655.9 ,3785.2 ,3750 
A;AT;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BE;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BG;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;CY;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;CZ;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DE;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DK;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EE;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EL;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
